author,proc
@alizar , 0.963718820861678
@marks , 0.8320950965824666
@SLY_G , 0.960804538421867
@ivansychev , 0.7111111111111111
@semen_grinshtein , 0.3783091374893254
@jeston , 0.8537735849056604
@aleksandrit , 0.9968404423380727
@XaocCPS , 0.9701492537313433
@Mithgol , 1.0
@Mordatyj , 0.9798534798534798
@Shapelez , 0.6778398510242085
@ilya42 , 0.95703125
@atomlib , 0.7964601769911505
@ragequit , 0.8671171171171171
@Tylerskald , 0.9567198177676538
@andorro , 0.9712230215827338
@jasiejames , 0.48826291079812206
@lozga , 0.65
@Sterhel , 1.0
@Jeditobe , 0.994475138121547